ID,Site,Start Date,End Date,Duration (in seconds),How likely would you be to recommend Braven to a friend?,Braven was one of the most valuable personal or professional development experiences I've ever had.,Please indicate how much you agree with each of the following statements: - I see Braven as more than just a course; I feel like I am part of a broader movement.,Please indicate how much you agree with each of the following statements: - I have a mentor who encourages my goals and dreams.,"On average, how much time did you spend completing Braven-related work compared to your other courses every week?",How challenging was the work you completed for Braven compared to the work you complete in your other courses?,What is your major?,Please indicate how much you agree with each of the following statements: - I feel certain about my ability to get the job I want,Please indicate how much you agree with each of the following statements: - I have what it takes to get a good job,Please indicate how much you agree with each of the following statements: - I am certain that my job search will be successful
245,RU-N,2019-12-18 21:10:31,2019-12-18 21:19:38,546,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Economics,Neutral,Moderately Agree,Moderately Agree
6,SJSU,2019-12-18 21:37:24,2019-12-18 21:56:18,1134,10,Strongly agree,Strongly agree,Strongly agree,About the same as other courses,Far less challenging than other courses,Sociology,Moderately Agree,Strongly agree,Agree
276,RU-N,2019-12-17 17:43:03,2019-12-18 23:49:46,108403,8,Moderately agree,Neither agree nor disagree,Moderately agree,About the same as other courses,Somewhat more challenging than other courses,Public Administration,Neutral,Moderately Agree,Neutral
180,RU-N,2019-12-19 2:07:07,2019-12-19 2:21:25,857,8,Moderately agree,Agree,Agree,Far more than other courses,Somewhat less challenging than other courses,Public Administration,Moderately Agree,Agree,Moderately Agree
174,RU-N,2019-12-18 9:56:37,2019-12-19 7:31:03,77666,7,Moderately agree,Agree,Moderately agree,Somewhat less than other courses,Somewhat less challenging than other courses,Biology,Agree,Strongly agree,Agree
239,RU-N,2019-12-19 4:51:54,2019-12-19 7:44:22,10348,9,Agree,Agree,Disagree,Somewhat more than other courses,Somewhat less challenging than other courses,Public Administration,Moderately Agree,Agree,Moderately Agree
112,RU-N,2019-12-19 7:51:44,2019-12-19 8:34:28,2564,7,Moderately agree,Neither agree nor disagree,Neither agree nor disagree,Far more than other courses,About the same as other courses,Criminal Justice,Strongly agree,Strongly agree,Strongly agree
61,RU-N,2019-12-12 14:17:49,2019-12-19 8:59:56,585727,9,Strongly agree,Agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Other [please specify],Agree,Agree,Agree
43,RU-N,2019-12-19 10:23:28,2019-12-19 10:32:46,557,7,Neutral,Agree,Agree,About the same as other courses,Somewhat more challenging than other courses,Marketing,Moderately Agree,Strongly agree,Strongly agree
3,RU-N,2019-12-19 10:34:58,2019-12-19 10:40:41,342,10,Strongly agree,Agree,Agree,Somewhat less than other courses,Somewhat less challenging than other courses,Biology,Strongly agree,Strongly agree,Strongly agree
80,RU-N,2019-12-19 10:23:55,2019-12-19 10:47:09,1393,7,Neutral,Moderately agree,Strongly agree,Somewhat more than other courses,Somewhat more challenging than other courses,Economics,Strongly agree,Strongly agree,Strongly agree
4,RU-N,2019-12-19 10:39:19,2019-12-19 10:53:28,849,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Political Science And Government,Agree,Strongly agree,Agree
269,RU-N,2019-12-19 10:41:08,2019-12-19 10:55:09,841,9,Strongly agree,Strongly agree,Agree,Somewhat more than other courses,Somewhat less challenging than other courses,Political Science And Government,Strongly agree,Strongly agree,Strongly agree
134,RU-N,2019-12-19 10:29:57,2019-12-19 10:56:58,1620,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,Somewhat less challenging than other courses,Criminal Justice,Disagree,Strongly agree,Strongly agree
45,RU-N,2019-12-19 10:54:18,2019-12-19 11:02:49,510,9,Strongly agree,Agree,Strongly agree,Far more than other courses,Somewhat more challenging than other courses,Biology,Strongly agree,Strongly agree,Strongly agree
157,RU-N,2019-12-19 11:58:09,2019-12-19 12:05:57,468,10,Strongly agree,Strongly agree,Strongly agree,Somewhat more than other courses,About the same as other courses,Biology,Strongly agree,Strongly agree,Strongly agree
130,RU-N,2019-12-19 12:19:34,2019-12-19 12:28:15,521,10,Strongly agree,Strongly agree,Strongly agree,Far more than other courses,About the same as other courses,Business Management And Administration,Strongly agree,Agree,Strongly agree
270,RU-N,2019-12-19 16:51:23,2019-12-19 17:04:31,788,7,Agree,Moderately agree,Moderately agree,About the same as other courses,Somewhat more challenging than other courses,Environmental Science,Agree,Strongly agree,Strongly agree
168,RU-N,2019-12-19 19:24:46,2019-12-19 19:46:45,1319,10,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat more than other courses,About the same as other courses,Biology,Agree,Strongly agree,Agree
202,RU-N,2019-12-19 10:46:22,2019-12-20 8:40:20,78837,8,Neutral,Strongly agree,Strongly agree,About the same as other courses,About the same as other courses,Journalism,Strongly agree,Strongly agree,Strongly agree
274,RU-N,2019-12-20 11:02:48,2019-12-20 11:16:00,791,6,Agree,Moderately agree,Moderately agree,Somewhat less than other courses,Far less challenging than other courses,Finance,Agree,Agree,Agree
11,RU-N,2019-12-16 7:45:08,2019-12-20 11:19:56,358488,10,Agree,Disagree,Disagree,Somewhat less than other courses,Somewhat more challenging than other courses,Graphic Design,Moderately Agree,Moderately Disagree,Moderately Disagree
173,RU-N,2019-12-20 11:10:33,2019-12-20 11:20:11,577,10,Agree,Strongly agree,Strongly agree,Far more than other courses,Somewhat more challenging than other courses,Business Management And Administration,Agree,Agree,Agree
81,RU-N,2019-12-16 11:51:52,2019-12-20 11:21:15,343762,6,Moderately agree,Moderately agree,Disagree,Somewhat more than other courses,About the same as other courses,Finance,Agree,Strongly agree,Neutral
183,RU-N,2019-12-20 11:10:02,2019-12-20 11:35:11,1508,10,Agree,Agree,Agree,About the same as other courses,About the same as other courses,Environmental Science,Agree,Moderately Agree,Strongly agree
181,RU-N,2019-12-20 11:04:05,2019-12-20 12:30:33,5188,8,Moderately agree,Moderately agree,Agree,Far more than other courses,Far more challenging than other courses,Social Work,Moderately Disagree,Moderately Agree,Agree
